id,Candidate,Party_ID,Party,Votes,Municipality
1,BILALL HADERGJONAJ,61,LËVIZJA VETËVENDOSJE!,676,Deçan
1,BLERIM BAJRAKTARAJ,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,5555,Deçan
1,RASIM SELMANAJ,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,8669,Deçan
1,XHEVDET HASANMETAJ,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,1078,Deçan
10,ARDIAN SELISHTA,61,LËVIZJA VETËVENDOSJE!,491,Kamenicë
10,BEGZAD SINANI,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,6071,Kamenicë
10,FATMIR MATOSHI,89,AKR - ALEANCA KOSOVA E RE,3466,Kamenicë
10,LULZIM LECI,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,2495,Kamenicë
10,SHAIP SURDULLI,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,6155,Kamenicë
11,AGIM BAHTIRI,89,AKR - ALEANCA KOSOVA E RE,6483,Mitrovicë
11,AVNI KASTRATI,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,12608,Mitrovicë
11,FARUK MUJKA,61,LËVIZJA VETËVENDOSJE!,2259,Mitrovicë
11,MEHDI JONUZI,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,5972,Mitrovicë
11,NEXHMEDIN SPAHIU,110,TË PAVARURIT E MITROVICËS,833,Mitrovicë
11,SHABAN DRAGAJ,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,1039,Mitrovicë
11,VESEL NEZIRI,70,Partia e Drejtësisë - PD,383,Mitrovicë
11,VESEL NEZIRI,70,PARTIA E DREJTËSISË - PD,19,Mitrovicë
12,BLAGOJE NEDELJKOVIĆ,123,DEMOKRATSKA INICIJATIVA,940,Leposaviq
12,DRAGAN JABLANOVIĆ,126,G.I.SRPSKA,2225,Leposaviq
12,DRAGIŠA KRSTOVIĆ,130,Samostalna Liberalna Stranka - SLS,521,Leposaviq
12,DRAGIŠA KRSTOVIĆ,130,SAMOSTALNA LIBERALNA STRANKA - SLS,17,Leposaviq
12,NENAD RADOSAVLJEVIĆ,132,NARODNA PRAVDA,209,Leposaviq
12,RADOMIR VELIČKOVIĆ,41,GI SDP - OLIVER IVANOVIC,244,Leposaviq
12,SLADJAN KOSTIĆ,83,GRAÐANSKA INICIJATIVA ZAJEDNO,166,Leposaviq
13,BASRI DEMIRI,75,ALEANCA PËR LIPJANIN,1581,Lipjan
13,FITIM SELIMI,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,6026,Lipjan
13,IMRI AHMETI,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,10294,Lipjan
13,RABIT KONJUFCA,61,LËVIZJA VETËVENDOSJE!,858,Lipjan
13,SHUKRI BUJA,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,10575,Lipjan
14,AVDULLA GASHI,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,111,Novobërdë
14,BAJRUSH YMERI,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,1659,Novobërdë
14,NAZMI SIJARINA,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,103,Novobërdë
14,NEBOJŠA ARSIĆ,141,SRPSKA GRADJANSKA INICIJATIVA,564,Novobërdë
