id,Polling Center,Candidate,Party_ID,Party,Votes,Municipality
1,0101C,BILALL HADERGJONAJ,61,LËVIZJA VETËVENDOSJE!,63,Deçan
1,0101C,BLERIM BAJRAKTARAJ,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,463,Deçan
1,0101C,RASIM SELMANAJ,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,967,Deçan
1,0101C,XHEVDET HASANMETAJ,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,95,Deçan
1,0101X,BILALL HADERGJONAJ,61,LËVIZJA VETËVENDOSJE!,128,Deçan
1,0101X,BLERIM BAJRAKTARAJ,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,670,Deçan
1,0101X,RASIM SELMANAJ,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,1511,Deçan
1,0101X,XHEVDET HASANMETAJ,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,106,Deçan
1,0102C,BILALL HADERGJONAJ,61,LËVIZJA VETËVENDOSJE!,138,Deçan
1,0102C,BLERIM BAJRAKTARAJ,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,773,Deçan
1,0102C,RASIM SELMANAJ,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,824,Deçan
1,0102C,XHEVDET HASANMETAJ,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,141,Deçan
1,0103C,BILALL HADERGJONAJ,61,LËVIZJA VETËVENDOSJE!,50,Deçan
1,0103C,BLERIM BAJRAKTARAJ,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,365,Deçan
1,0103C,RASIM SELMANAJ,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,1119,Deçan
1,0103C,XHEVDET HASANMETAJ,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,130,Deçan
1,0105C,BILALL HADERGJONAJ,61,LËVIZJA VETËVENDOSJE!,77,Deçan
1,0105C,BLERIM BAJRAKTARAJ,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,1045,Deçan
