id,Polling Center,Party_ID,Party,Votes,Municipality
1,0101C,10,LËVIZJA VETËVENDOSJE!,84,Deçan
1,0101C,21,BK - BALLI KOMBËTAR I KOSOVËS,10,Deçan
1,0101C,31,NISMA - NISMA PËR KOSOVËN,9,Deçan
1,0101C,34,AKR - ALEANCA KOSOVA E RE,59,Deçan
1,0101C,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,238,Deçan
1,0101C,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,906,Deçan
1,0101C,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,114,Deçan
1,0101X,10,LËVIZJA VETËVENDOSJE!,171,Deçan
1,0101X,21,BK - BALLI KOMBËTAR I KOSOVËS,10,Deçan
1,0101X,31,NISMA - NISMA PËR KOSOVËN,34,Deçan
1,0101X,34,AKR - ALEANCA KOSOVA E RE,36,Deçan
1,0101X,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,213,Deçan
1,0101X,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,1439,Deçan
1,0101X,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,130,Deçan
1,0102C,10,LËVIZJA VETËVENDOSJE!,129,Deçan
1,0102C,21,BK - BALLI KOMBËTAR I KOSOVËS,9,Deçan
1,0102C,31,NISMA - NISMA PËR KOSOVËN,26,Deçan
1,0102C,34,AKR - ALEANCA KOSOVA E RE,30,Deçan
1,0102C,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,386,Deçan
1,0102C,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,942,Deçan
1,0102C,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,268,Deçan
1,0103C,10,LËVIZJA VETËVENDOSJE!,21,Deçan
1,0103C,21,BK - BALLI KOMBËTAR I KOSOVËS,0,Deçan
1,0103C,31,NISMA - NISMA PËR KOSOVËN,0,Deçan
1,0103C,34,AKR - ALEANCA KOSOVA E RE,8,Deçan
1,0103C,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,175,Deçan
1,0103C,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,857,Deçan
1,0103C,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,109,Deçan
1,0104C,10,LËVIZJA VETËVENDOSJE!,75,Deçan
1,0104C,21,BK - BALLI KOMBËTAR I KOSOVËS,3,Deçan
1,0104C,31,NISMA - NISMA PËR KOSOVËN,3,Deçan
1,0104C,34,AKR - ALEANCA KOSOVA E RE,5,Deçan
1,0104C,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,159,Deçan
1,0104C,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,353,Deçan
1,0104C,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,69,Deçan
1,0105C,10,LËVIZJA VETËVENDOSJE!,175,Deçan
1,0105C,21,BK - BALLI KOMBËTAR I KOSOVËS,1,Deçan
