id,Polling Center,Candidate,Party_ID,Party,Votes,Municipality
2,0201C,ARDIAN GJINI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,903,Gjakovë
2,0201C,MIMOZA KUSARI LILA,30,ALTERNATIVA,1958,Gjakovë
2,0202C,ARDIAN GJINI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,1338,Gjakovë
2,0202C,MIMOZA KUSARI LILA,30,ALTERNATIVA,2696,Gjakovë
2,0202X,ARDIAN GJINI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,2066,Gjakovë
2,0202X,MIMOZA KUSARI LILA,30,ALTERNATIVA,4495,Gjakovë
2,0203C,ARDIAN GJINI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,614,Gjakovë
2,0203C,MIMOZA KUSARI LILA,30,ALTERNATIVA,1425,Gjakovë
2,0203X,ARDIAN GJINI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,477,Gjakovë
2,0203X,MIMOZA KUSARI LILA,30,ALTERNATIVA,1257,Gjakovë
2,0204C,ARDIAN GJINI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,716,Gjakovë
2,0204C,MIMOZA KUSARI LILA,30,ALTERNATIVA,1921,Gjakovë
2,0205C,ARDIAN GJINI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,1343,Gjakovë
2,0205C,MIMOZA KUSARI LILA,30,ALTERNATIVA,2450,Gjakovë
2,0206C,ARDIAN GJINI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,415,Gjakovë
2,0206C,MIMOZA KUSARI LILA,30,ALTERNATIVA,53,Gjakovë
2,0207C,ARDIAN GJINI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,711,Gjakovë
2,0207C,MIMOZA KUSARI LILA,30,ALTERNATIVA,129,Gjakovë
2,0208C,ARDIAN GJINI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,806,Gjakovë
2,0208C,MIMOZA KUSARI LILA,30,ALTERNATIVA,104,Gjakovë
2,0209C,ARDIAN GJINI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,306,Gjakovë
2,0209C,MIMOZA KUSARI LILA,30,ALTERNATIVA,44,Gjakovë
2,0210C,ARDIAN GJINI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,714,Gjakovë
2,0210C,MIMOZA KUSARI LILA,30,ALTERNATIVA,111,Gjakovë
2,0211C,ARDIAN GJINI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,362,Gjakovë
2,0211C,MIMOZA KUSARI LILA,30,ALTERNATIVA,131,Gjakovë
2,0212C,ARDIAN GJINI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,968,Gjakovë
2,0212C,MIMOZA KUSARI LILA,30,ALTERNATIVA,506,Gjakovë
2,0213C,ARDIAN GJINI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,417,Gjakovë
2,0213C,MIMOZA KUSARI LILA,30,ALTERNATIVA,60,Gjakovë
2,0214C,ARDIAN GJINI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,766,Gjakovë
2,0214C,MIMOZA KUSARI LILA,30,ALTERNATIVA,147,Gjakovë
2,0215C,ARDIAN GJINI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,626,Gjakovë
2,0215C,MIMOZA KUSARI LILA,30,ALTERNATIVA,95,Gjakovë
2,0216C,ARDIAN GJINI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,515,Gjakovë
