id,Polling Center,Party_ID,Party,Acronym,Votes,Municipality
1,0101C,2,PARTIA DEMOKRATIKE E KOSOVËS,,64,Deçan
1,0101C,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,,2,Deçan
1,0101C,4,STRANKA DEMOKRATSKE AKCIJE,,0,Deçan
1,0101C,1,PARTIA LIBERALE EGJIPTIANE,,2,Deçan
1,0101C,15,FJALA,,2,Deçan
1,0101C,16,LËVIZJA VETËVENDOSJE!,,81,Deçan
1,0101C,17,KOSOVA DEMOKRATIK TÜRK PARTISI,,0,Deçan
1,0101C,5,PARTIJA KOSOVSKIH SRBA,,0,Deçan
1,0101C,6,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,2,Deçan
1,0101C,7,POKRET ZA GORA,,0,Deçan
1,0101C,8,NOVA DEMOKRATSKA STRANKA,,1,Deçan
1,0101C,9,AAK-PSD KOALICIONI 100% KOSOVË,,970,Deçan
1,0101C,10,SLOBODA,,0,Deçan
1,0101C,11,SAMOSTALNA LIBERALNA STRANKA,,0,Deçan
1,0101C,12,NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,,26,Deçan
1,0101C,13,JEDINSTVENA GORANSKA PARTIJA,,0,Deçan
1,0101C,14,KOALICIJA VAKAT,,0,Deçan
1,0101X,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,,1,Deçan
1,0101X,4,STRANKA DEMOKRATSKE AKCIJE,,1,Deçan
1,0101X,5,PARTIJA KOSOVSKIH SRBA,,0,Deçan
1,0101C,18,PARTIA ROME E BASHKUAR E KOSOVËS,,0,Deçan
1,0101C,19,PARTIA EUROATLANTIKE E KOSOVËS,,1,Deçan
1,0101C,20,KOSOVAKI NEVI ROMANI PARTIA,,0,Deçan
1,0101C,21,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,,1,Deçan
1,0101C,22,ESMIR KASI,,0,Deçan
1,0101C,23,GRAÐANSKA İNİCİJATİVA GORE,,2,Deçan
1,0101C,24,LIDHJA DEMOKRATIKE E KOSOVËS,,350,Deçan
1,0101C,25,SRPSKA LISTA,,0,Deçan
1,0101X,1,PARTIA LIBERALE EGJIPTIANE,,1,Deçan
1,0101X,2,PARTIA DEMOKRATIKE E KOSOVËS,,60,Deçan
1,0101X,16,LËVIZJA VETËVENDOSJE!,,145,Deçan
1,0101X,17,KOSOVA DEMOKRATIK TÜRK PARTISI,,0,Deçan
1,0101X,18,PARTIA ROME E BASHKUAR E KOSOVËS,,2,Deçan
1,0101X,19,PARTIA EUROATLANTIKE E KOSOVËS,,2,Deçan
1,0101X,20,KOSOVAKI NEVI ROMANI PARTIA,,0,Deçan
1,0101X,21,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,,1,Deçan
1,0101X,22,ESMIR KASI,,0,Deçan
1,0101X,23,GRAÐANSKA İNİCİJATİVA GORE,,1,Deçan
1,0101X,24,LIDHJA DEMOKRATIKE E KOSOVËS,,356,Deçan
1,0101X,25,SRPSKA LISTA,,1,Deçan
1,0102C,1,PARTIA LIBERALE EGJIPTIANE,,2,Deçan
1,0102C,2,PARTIA DEMOKRATIKE E KOSOVËS,,97,Deçan
1,0102C,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,,0,Deçan
1,0102C,4,STRANKA DEMOKRATSKE AKCIJE,,0,Deçan
1,0102C,5,PARTIJA KOSOVSKIH SRBA,,1,Deçan
1,0102C,6,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,1,Deçan
1,0102C,7,POKRET ZA GORA,,1,Deçan
1,0102C,8,NOVA DEMOKRATSKA STRANKA,,1,Deçan
1,0102C,9,AAK-PSD KOALICIONI 100% KOSOVË,,1028,Deçan
1,0102C,10,SLOBODA,,0,Deçan
1,0102C,11,SAMOSTALNA LIBERALNA STRANKA,,0,Deçan
1,0102C,12,NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,,21,Deçan
1,0102C,13,JEDINSTVENA GORANSKA PARTIJA,,0,Deçan
1,0102C,14,KOALICIJA VAKAT,,0,Deçan
1,0102C,15,FJALA,,1,Deçan
1,0102C,16,LËVIZJA VETËVENDOSJE!,,88,Deçan
1,0102C,17,KOSOVA DEMOKRATIK TÜRK PARTISI,,0,Deçan
1,0102C,18,PARTIA ROME E BASHKUAR E KOSOVËS,,0,Deçan
1,0102C,19,PARTIA EUROATLANTIKE E KOSOVËS,,2,Deçan
1,0102C,20,KOSOVAKI NEVI ROMANI PARTIA,,0,Deçan
1,0101X,6,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,1,Deçan
1,0101X,7,POKRET ZA GORA,,0,Deçan
1,0101X,8,NOVA DEMOKRATSKA STRANKA,,0,Deçan
1,0101X,9,AAK-PSD KOALICIONI 100% KOSOVË,,1511,Deçan
1,0101X,10,SLOBODA,,1,Deçan
1,0101X,11,SAMOSTALNA LIBERALNA STRANKA,,0,Deçan
1,0101X,12,NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,,38,Deçan
1,0101X,13,JEDINSTVENA GORANSKA PARTIJA,,0,Deçan
1,0101X,14,KOALICIJA VAKAT,,0,Deçan
1,0101X,15,FJALA,,2,Deçan
1,0104C,21,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,,1,Deçan
1,0104C,22,ESMIR KASI,,0,Deçan
1,0104C,23,GRAÐANSKA İNİCİJATİVA GORE,,1,Deçan
1,0104C,24,LIDHJA DEMOKRATIKE E KOSOVËS,,221,Deçan
1,0104C,25,SRPSKA LISTA,,1,Deçan
1,0105C,1,PARTIA LIBERALE EGJIPTIANE,,0,Deçan
1,0105C,2,PARTIA DEMOKRATIKE E KOSOVËS,,81,Deçan
1,0105C,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,,0,Deçan
1,0105C,4,STRANKA DEMOKRATSKE AKCIJE,,1,Deçan
1,0105C,5,PARTIJA KOSOVSKIH SRBA,,0,Deçan
1,0105C,6,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,0,Deçan
1,0105C,7,POKRET ZA GORA,,0,Deçan
1,0105C,8,NOVA DEMOKRATSKA STRANKA,,0,Deçan
1,0105C,9,AAK-PSD KOALICIONI 100% KOSOVË,,724,Deçan
1,0105C,10,SLOBODA,,0,Deçan
1,0105C,11,SAMOSTALNA LIBERALNA STRANKA,,0,Deçan
1,0105C,12,NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,,18,Deçan
1,0105C,13,JEDINSTVENA GORANSKA PARTIJA,,0,Deçan
1,0105C,14,KOALICIJA VAKAT,,2,Deçan
1,0105C,15,FJALA,,4,Deçan
1,0105C,16,LËVIZJA VETËVENDOSJE!,,133,Deçan
1,0105C,17,KOSOVA DEMOKRATIK TÜRK PARTISI,,0,Deçan
1,0105C,18,PARTIA ROME E BASHKUAR E KOSOVËS,,0,Deçan
1,0105C,19,PARTIA EUROATLANTIKE E KOSOVËS,,0,Deçan
1,0105C,20,KOSOVAKI NEVI ROMANI PARTIA,,0,Deçan
1,0105C,21,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,,0,Deçan
1,0105C,22,ESMIR KASI,,0,Deçan
1,0105C,23,GRAÐANSKA İNİCİJATİVA GORE,,2,Deçan
1,0105C,24,LIDHJA DEMOKRATIKE E KOSOVËS,,557,Deçan
1,0105C,25,SRPSKA LISTA,,2,Deçan
1,0106C,1,PARTIA LIBERALE EGJIPTIANE,,1,Deçan
1,0106C,2,PARTIA DEMOKRATIKE E KOSOVËS,,33,Deçan
1,0106C,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,,0,Deçan
1,0106C,4,STRANKA DEMOKRATSKE AKCIJE,,1,Deçan
1,0106C,5,PARTIJA KOSOVSKIH SRBA,,0,Deçan
1,0106C,6,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,0,Deçan
1,0106C,7,POKRET ZA GORA,,0,Deçan
1,0106C,8,NOVA DEMOKRATSKA STRANKA,,1,Deçan
1,0106C,9,AAK-PSD KOALICIONI 100% KOSOVË,,692,Deçan
1,0106C,10,SLOBODA,,0,Deçan
1,0106C,11,SAMOSTALNA LIBERALNA STRANKA,,0,Deçan
1,0106C,12,NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,,13,Deçan
1,0106C,13,JEDINSTVENA GORANSKA PARTIJA,,0,Deçan
1,0106C,14,KOALICIJA VAKAT,,0,Deçan
1,0106C,15,FJALA,,3,Deçan
1,0106C,16,LËVIZJA VETËVENDOSJE!,,32,Deçan
1,0106C,17,KOSOVA DEMOKRATIK TÜRK PARTISI,,0,Deçan
1,0106C,18,PARTIA ROME E BASHKUAR E KOSOVËS,,0,Deçan
1,0106C,19,PARTIA EUROATLANTIKE E KOSOVËS,,0,Deçan
1,0106C,20,KOSOVAKI NEVI ROMANI PARTIA,,0,Deçan
1,0106C,21,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,,0,Deçan
1,0106C,22,ESMIR KASI,,1,Deçan
1,0106C,23,GRAÐANSKA İNİCİJATİVA GORE,,1,Deçan
1,0106C,24,LIDHJA DEMOKRATIKE E KOSOVËS,,111,Deçan
1,0106C,25,SRPSKA LISTA,,0,Deçan
1,0107C,1,PARTIA LIBERALE EGJIPTIANE,,2,Deçan
1,0107C,2,PARTIA DEMOKRATIKE E KOSOVËS,,17,Deçan
1,0107C,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,,1,Deçan
1,0107C,4,STRANKA DEMOKRATSKE AKCIJE,,0,Deçan
1,0107C,5,PARTIJA KOSOVSKIH SRBA,,0,Deçan
1,0107C,6,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,1,Deçan
1,0107C,7,POKRET ZA GORA,,0,Deçan
1,0107C,8,NOVA DEMOKRATSKA STRANKA,,0,Deçan
1,0107C,9,AAK-PSD KOALICIONI 100% KOSOVË,,716,Deçan
1,0107C,10,SLOBODA,,0,Deçan
1,0107C,11,SAMOSTALNA LIBERALNA STRANKA,,0,Deçan
1,0107C,12,NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,,4,Deçan
1,0107C,13,JEDINSTVENA GORANSKA PARTIJA,,0,Deçan
1,0107C,14,KOALICIJA VAKAT,,0,Deçan
1,0107C,15,FJALA,,2,Deçan
1,0107C,16,LËVIZJA VETËVENDOSJE!,,12,Deçan
1,0102C,21,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,,0,Deçan
1,0102C,22,ESMIR KASI,,0,Deçan
1,0102C,23,GRAÐANSKA İNİCİJATİVA GORE,,0,Deçan
1,0102C,24,LIDHJA DEMOKRATIKE E KOSOVËS,,456,Deçan
1,0102C,25,SRPSKA LISTA,,1,Deçan
1,0103C,1,PARTIA LIBERALE EGJIPTIANE,,17,Deçan
1,0103C,2,PARTIA DEMOKRATIKE E KOSOVËS,,61,Deçan
1,0103C,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,,0,Deçan
1,0103C,4,STRANKA DEMOKRATSKE AKCIJE,,0,Deçan
1,0103C,5,PARTIJA KOSOVSKIH SRBA,,1,Deçan
1,0103C,6,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,1,Deçan
1,0103C,7,POKRET ZA GORA,,0,Deçan
1,0103C,8,NOVA DEMOKRATSKA STRANKA,,2,Deçan
1,0103C,9,AAK-PSD KOALICIONI 100% KOSOVË,,817,Deçan
1,0103C,10,SLOBODA,,0,Deçan
1,0103C,11,SAMOSTALNA LIBERALNA STRANKA,,0,Deçan
1,0103C,12,NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,,14,Deçan
1,0103C,13,JEDINSTVENA GORANSKA PARTIJA,,0,Deçan
1,0103C,14,KOALICIJA VAKAT,,0,Deçan
1,0103C,15,FJALA,,1,Deçan
1,0103C,16,LËVIZJA VETËVENDOSJE!,,53,Deçan
1,0103C,17,KOSOVA DEMOKRATIK TÜRK PARTISI,,0,Deçan
1,0103C,18,PARTIA ROME E BASHKUAR E KOSOVËS,,3,Deçan
1,0103C,19,PARTIA EUROATLANTIKE E KOSOVËS,,1,Deçan
1,0103C,20,KOSOVAKI NEVI ROMANI PARTIA,,0,Deçan
1,0103C,21,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,,0,Deçan
1,0103C,22,ESMIR KASI,,0,Deçan
1,0103C,23,GRAÐANSKA İNİCİJATİVA GORE,,0,Deçan
1,0103C,24,LIDHJA DEMOKRATIKE E KOSOVËS,,217,Deçan
1,0103C,25,SRPSKA LISTA,,0,Deçan
1,0104C,1,PARTIA LIBERALE EGJIPTIANE,,9,Deçan
1,0104C,2,PARTIA DEMOKRATIKE E KOSOVËS,,32,Deçan
1,0104C,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,,0,Deçan
1,0104C,4,STRANKA DEMOKRATSKE AKCIJE,,2,Deçan
1,0104C,5,PARTIJA KOSOVSKIH SRBA,,0,Deçan
1,0104C,6,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,0,Deçan
1,0104C,7,POKRET ZA GORA,,0,Deçan
1,0104C,8,NOVA DEMOKRATSKA STRANKA,,0,Deçan
1,0104C,9,AAK-PSD KOALICIONI 100% KOSOVË,,377,Deçan
1,0104C,10,SLOBODA,,0,Deçan
1,0104C,11,SAMOSTALNA LIBERALNA STRANKA,,1,Deçan
1,0104C,12,NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,,18,Deçan
1,0104C,13,JEDINSTVENA GORANSKA PARTIJA,,0,Deçan
