id,Polling Center,Polling Station,Candidate,Party_ID,Party,Votes,Municipality
1,0101C,0101C/01R,ISA ELEZAJ,130,ISA ELEZAJ,4,Deçan
1,0101C,0101C/03R,HYRI DOBRUNAJ,160,LIDHJA DEMOKRATIKE E KOSOVËS,87,Deçan
1,0101C,0101C/03R,ORGES TAFILAJ,144,LËVIZJA VETËVENDOSJE!,35,Deçan
1,0101C,0101C/01R,HYRI DOBRUNAJ,160,LIDHJA DEMOKRATIKE E KOSOVËS,54,Deçan
1,0101C,0101C/04D,ORGES TAFILAJ,144,LËVIZJA VETËVENDOSJE!,26,Deçan
1,0101C,0101C/03R,ISA ELEZAJ,130,ISA ELEZAJ,2,Deçan
1,0101C,0101C/04D,ISA ELEZAJ,130,ISA ELEZAJ,3,Deçan
1,0101C,0101C/02R,HYRI DOBRUNAJ,160,LIDHJA DEMOKRATIKE E KOSOVËS,42,Deçan
1,0101C,0101C/03R,ARDIANA QORRAJ,177,PARTIA DEMOKRATIKE E KOSOVËS,2,Deçan
1,0101C,0101C/01R,ORGES TAFILAJ,144,LËVIZJA VETËVENDOSJE!,37,Deçan
1,0101C,0101C/03R,BASHKIM RAMOSAJ,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,258,Deçan
1,0101C,0101C/02R,BASHKIM RAMOSAJ,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,327,Deçan
1,0101C,0101C/02R,ARDIANA QORRAJ,177,PARTIA DEMOKRATIKE E KOSOVËS,1,Deçan
1,0101C,0101C/04D,HYRI DOBRUNAJ,160,LIDHJA DEMOKRATIKE E KOSOVËS,74,Deçan
1,0101C,0101C/02R,ISA ELEZAJ,130,ISA ELEZAJ,6,Deçan
1,0101C,0101C/04D,BASHKIM RAMOSAJ,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,163,Deçan
1,0101C,0101C/04D,ARDIANA QORRAJ,177,PARTIA DEMOKRATIKE E KOSOVËS,12,Deçan
1,0101C,0101C/01R,ARDIANA QORRAJ,177,PARTIA DEMOKRATIKE E KOSOVËS,13,Deçan
1,0101C,0101C/02R,ORGES TAFILAJ,144,LËVIZJA VETËVENDOSJE!,35,Deçan
1,0101C,0101C/01R,BASHKIM RAMOSAJ,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,190,Deçan
1,0101X,0101X/03R,ISA ELEZAJ,130,ISA ELEZAJ,8,Deçan
