id,Polling Center,Polling Station,Party_ID,Party,Votes,Municipality
1,0101C,0101C/01R,130,ISA ELEZAJ,4,Deçan
1,0101C,0101C/03R,160,LIDHJA DEMOKRATIKE E KOSOVËS,87,Deçan
1,0101C,0101C/03R,144,LËVIZJA VETËVENDOSJE!,35,Deçan
1,0101C,0101C/01R,160,LIDHJA DEMOKRATIKE E KOSOVËS,54,Deçan
1,0101C,0101C/04D,144,LËVIZJA VETËVENDOSJE!,26,Deçan
1,0101C,0101C/03R,130,ISA ELEZAJ,2,Deçan
1,0101C,0101C/04D,130,ISA ELEZAJ,3,Deçan
1,0101C,0101C/02R,160,LIDHJA DEMOKRATIKE E KOSOVËS,42,Deçan
1,0101C,0101C/03R,177,PARTIA DEMOKRATIKE E KOSOVËS,2,Deçan
1,0101C,0101C/01R,144,LËVIZJA VETËVENDOSJE!,37,Deçan
1,0101C,0101C/03R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,258,Deçan
1,0101C,0101C/02R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,327,Deçan
1,0101C,0101C/02R,177,PARTIA DEMOKRATIKE E KOSOVËS,1,Deçan
1,0101C,0101C/04D,160,LIDHJA DEMOKRATIKE E KOSOVËS,74,Deçan
1,0101C,0101C/02R,130,ISA ELEZAJ,6,Deçan
1,0101C,0101C/04D,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,163,Deçan
1,0101C,0101C/04D,177,PARTIA DEMOKRATIKE E KOSOVËS,12,Deçan
1,0101C,0101C/01R,177,PARTIA DEMOKRATIKE E KOSOVËS,13,Deçan
1,0101C,0101C/02R,144,LËVIZJA VETËVENDOSJE!,35,Deçan
1,0101C,0101C/01R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,190,Deçan
1,0101X,0101X/03R,130,ISA ELEZAJ,8,Deçan
1,0101X,0101X/04R,160,LIDHJA DEMOKRATIKE E KOSOVËS,23,Deçan
1,0101X,0101X/06D,160,LIDHJA DEMOKRATIKE E KOSOVËS,51,Deçan
1,0101X,0101X/02R,177,PARTIA DEMOKRATIKE E KOSOVËS,4,Deçan
1,0101X,0101X/02R,144,LËVIZJA VETËVENDOSJE!,46,Deçan
1,0101X,0101X/01R,177,PARTIA DEMOKRATIKE E KOSOVËS,4,Deçan
1,0101X,0101X/03R,160,LIDHJA DEMOKRATIKE E KOSOVËS,56,Deçan
1,0101X,0101X/05R,144,LËVIZJA VETËVENDOSJE!,37,Deçan
1,0101X,0101X/04R,130,ISA ELEZAJ,0,Deçan
1,0101X,0101X/01R,130,ISA ELEZAJ,3,Deçan
1,0101X,0101X/06D,177,PARTIA DEMOKRATIKE E KOSOVËS,1,Deçan
1,0101X,0101X/04R,177,PARTIA DEMOKRATIKE E KOSOVËS,14,Deçan
1,0101X,0101X/04R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,310,Deçan
1,0101X,0101X/03R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,203,Deçan
1,0101X,0101X/06D,144,LËVIZJA VETËVENDOSJE!,23,Deçan
1,0101X,0101X/05R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,304,Deçan
1,0101X,0101X/05R,130,ISA ELEZAJ,10,Deçan
1,0101X,0101X/05R,177,PARTIA DEMOKRATIKE E KOSOVËS,4,Deçan
1,0101X,0101X/02R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,272,Deçan
1,0101X,0101X/01R,160,LIDHJA DEMOKRATIKE E KOSOVËS,39,Deçan
1,0101X,0101X/01R,144,LËVIZJA VETËVENDOSJE!,37,Deçan
1,0101X,0101X/03R,144,LËVIZJA VETËVENDOSJE!,48,Deçan
1,0101X,0101X/02R,160,LIDHJA DEMOKRATIKE E KOSOVËS,30,Deçan
1,0101X,0101X/02R,130,ISA ELEZAJ,7,Deçan
1,0101X,0101X/06D,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,149,Deçan
1,0101X,0101X/03R,177,PARTIA DEMOKRATIKE E KOSOVËS,3,Deçan
1,0101X,0101X/06D,130,ISA ELEZAJ,0,Deçan
1,0101X,0101X/01R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,209,Deçan
1,0101X,0101X/05R,160,LIDHJA DEMOKRATIKE E KOSOVËS,41,Deçan
1,0101X,0101X/04R,144,LËVIZJA VETËVENDOSJE!,22,Deçan
1,0102C,0102C/02R,144,LËVIZJA VETËVENDOSJE!,17,Deçan
1,0102C,0102C/05D,130,ISA ELEZAJ,4,Deçan
1,0102C,0102C/02R,177,PARTIA DEMOKRATIKE E KOSOVËS,17,Deçan
1,0102C,0102C/04R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,261,Deçan
1,0102C,0102C/04R,177,PARTIA DEMOKRATIKE E KOSOVËS,2,Deçan
1,0102C,0102C/03R,177,PARTIA DEMOKRATIKE E KOSOVËS,2,Deçan
1,0102C,0102C/05D,160,LIDHJA DEMOKRATIKE E KOSOVËS,105,Deçan
1,0102C,0102C/03R,160,LIDHJA DEMOKRATIKE E KOSOVËS,95,Deçan
1,0102C,0102C/01R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,163,Deçan
1,0102C,0102C/03R,130,ISA ELEZAJ,13,Deçan
1,0102C,0102C/04R,130,ISA ELEZAJ,1,Deçan
1,0102C,0102C/04R,160,LIDHJA DEMOKRATIKE E KOSOVËS,63,Deçan
1,0102C,0102C/05D,177,PARTIA DEMOKRATIKE E KOSOVËS,0,Deçan
1,0102C,0102C/01R,160,LIDHJA DEMOKRATIKE E KOSOVËS,59,Deçan
1,0102C,0102C/01R,144,LËVIZJA VETËVENDOSJE!,38,Deçan
1,0102C,0102C/02R,130,ISA ELEZAJ,1,Deçan
1,0102C,0102C/02R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,201,Deçan
1,0102C,0102C/05D,144,LËVIZJA VETËVENDOSJE!,37,Deçan
1,0102C,0102C/04R,144,LËVIZJA VETËVENDOSJE!,35,Deçan
1,0102C,0102C/01R,130,ISA ELEZAJ,5,Deçan
1,0102C,0102C/02R,160,LIDHJA DEMOKRATIKE E KOSOVËS,75,Deçan
1,0102C,0102C/01R,177,PARTIA DEMOKRATIKE E KOSOVËS,4,Deçan
1,0102C,0102C/03R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,242,Deçan
1,0102C,0102C/05D,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,156,Deçan
1,0102C,0102C/03R,144,LËVIZJA VETËVENDOSJE!,28,Deçan
1,0103C,0103C/02R,160,LIDHJA DEMOKRATIKE E KOSOVËS,39,Deçan
1,0103C,0103C/01R,130,ISA ELEZAJ,2,Deçan
1,0103C,0103C/03R,177,PARTIA DEMOKRATIKE E KOSOVËS,0,Deçan
1,0103C,0103C/04D,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,240,Deçan
1,0103C,0103C/02R,130,ISA ELEZAJ,5,Deçan
1,0103C,0103C/03R,144,LËVIZJA VETËVENDOSJE!,19,Deçan
1,0103C,0103C/04D,130,ISA ELEZAJ,0,Deçan
1,0103C,0103C/03R,130,ISA ELEZAJ,5,Deçan
1,0103C,0103C/04D,177,PARTIA DEMOKRATIKE E KOSOVËS,1,Deçan
1,0103C,0103C/02R,177,PARTIA DEMOKRATIKE E KOSOVËS,0,Deçan
1,0103C,0103C/02R,144,LËVIZJA VETËVENDOSJE!,45,Deçan
1,0103C,0103C/01R,144,LËVIZJA VETËVENDOSJE!,23,Deçan
1,0103C,0103C/04D,144,LËVIZJA VETËVENDOSJE!,15,Deçan
1,0103C,0103C/01R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,241,Deçan
1,0103C,0103C/01R,177,PARTIA DEMOKRATIKE E KOSOVËS,9,Deçan
1,0103C,0103C/01R,160,LIDHJA DEMOKRATIKE E KOSOVËS,47,Deçan
1,0103C,0103C/03R,160,LIDHJA DEMOKRATIKE E KOSOVËS,36,Deçan
1,0103C,0103C/03R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,224,Deçan
1,0103C,0103C/02R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,177,Deçan
1,0103C,0103C/04D,160,LIDHJA DEMOKRATIKE E KOSOVËS,18,Deçan
1,0104C,0104C/02R,130,ISA ELEZAJ,16,Deçan
1,0104C,0104C/01R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,146,Deçan
1,0104C,0104C/02R,144,LËVIZJA VETËVENDOSJE!,54,Deçan
1,0104C,0104C/02R,177,PARTIA DEMOKRATIKE E KOSOVËS,15,Deçan
1,0104C,0104C/02R,160,LIDHJA DEMOKRATIKE E KOSOVËS,48,Deçan
1,0104C,0104C/03D,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,106,Deçan
1,0104C,0104C/01R,160,LIDHJA DEMOKRATIKE E KOSOVËS,69,Deçan
1,0104C,0104C/03D,144,LËVIZJA VETËVENDOSJE!,22,Deçan
1,0104C,0104C/01R,130,ISA ELEZAJ,5,Deçan
1,0104C,0104C/02R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,135,Deçan
1,0104C,0104C/03D,130,ISA ELEZAJ,11,Deçan
